child_lemma	child_pos	child_case	child_number	parent_lemma	parent_pos	parent_case	parent_number	text	sentence	sentence_id	child_lemma_total
argi_käik	NOUN	Ade	Sing	kauplus	NOUN	Ela	Sing	argikäigul kauplusest	Ometi on möödujaist 99,99% kindlasti ___argikäigul___ ___kauplusest___ kaubamajja , trolli peale , tööle .	27831	1
tuisus	NOUN	Ade	Sing	oktoobri_õhtu	NOUN	Ade	Sing	tuisusel oktoobriõhtul	Lõpuks , kui Tolstoi oli kaheksakümne kahe aastane , ei suutnud ta oma kodu traagilist õnnetust enam taluda ja põgenes naise juurest ühel ___tuisusel___ ___oktoobriõhtul___ 1910. aastal - põgenes välja külma ja pimeduse kätte , teadmata isegi , kuhu .	28102	1
õpetaja	NOUN	Tra	Sing	kesk_kool	NOUN	Add	Sing	õpetajaks keskkooli	Oletame , et lähete tööle - ___õpetajaks___ ___keskkooli___ .	28314	475
keel	NOUN	Ine	Plur	universi_teet	NOUN	Tra	Sing	keeltes universiteediks	Ülikooli nimetatakse paljudes ___keeltes___ ___universiteediks___ .	28582	609
nahk	NOUN	Ela	Sing	kukrus	NOUN	Ill	Sing	nahast kukrusse	Nimelt panid bursa elanikud ehk bursaalid oma üüri- ja elamisraha ühisesse ___nahast___ ___kukrusse___ .	28608	27
kinnistamine	NOUN	Tra	Sing	püsi_mälu	NOUN	Ine	Sing	kinnistamiseks püsimälus	Loetu ( õpitu ) esmaseks ___kinnistamiseks___ ___püsimälus___ oleks vaja seda jutustada iseendale või veel parem - mõnele kaasõpilasele .	28662	1
matrik_liraamatu	NOUN	Ill	Sing	sisse_kirjutamine	NOUN	All	Sing	Matrikliraamatusse sissekirjutamisele	___Matrikliraamatusse___ ___sissekirjutamisele___ ülikooli algusaastatel mingit eksamit ei eelnenud ning seetõttu kirjutati mõningatel juhtudel üliõpilasteks ka poisse , kes olid liiga noored õppetööks .	28670	2
loodus_kaun	NOUN	Ade	Sing	linn	NOUN	Ade	Sing	Looduskaunil linnal	___Looduskaunil___ ning hinnatud arhitektuuriga vaiksel Kuressaare ___linnal___ on enam kui 170-aastane kuurordiajalugu .	28930	7
lisa	NOUN	Tra	Sing	ravi_teenus	NOUN	All	Plur	lisaks raviteenustele	Praegu pakuvad rikkalikke tänapäevaseid ravi- ja majutusvõimalusi Saaremaa spaahotellid Saaremaa Valss , Meri , Rüütli ja külalistemaja Merineitsi , kus ___lisaks___ traditsioonilistele ___raviteenustele___ on ka hulgaliselt vaba aja veetmise ja sportimise võimalusi .	28931	97
bassein	NOUN	Ine	Sing	ujumine	NOUN	All	Sing	basseinis ujumisele	Lisaks ___basseinis___ ___ujumisele___ , jõusaalile ja aeroobikale võib nautida veerõõmusid veekeskuses Rüütli , lesida mullivannis , rõõmustada kogu perega veeatraktsioonide üle , tunda elust mõnu aroomi- ja aurusaunas .	28940	9
Interneti-panka	NOUN	Ine	Sing	ekraan	NOUN	Ade	Sing	Interneti-pangas ekraanil	E-arvet saab klient ___Interneti-pangas___ ___ekraanil___ vaadata , kohe tasuda ning vajaduse korral ka välja trükkida .	28971	2
klient	NOUN	All	Plur	saatmine	NOUN	Ela	Sing	klientidele saatmisest	Nimetage veel suurettevõtteid , kes võiksid olla huvitatud ___klientidele___ e-arvete ___saatmisest___ ?	28980	47
kõrg_kool	NOUN	Ine	Plur	õppema	NOUN	Tra	Sing	kõrgkoolides õppemaks	Kas te teate , kui suur on erinevates ___kõrgkoolides___ ___õppemaks___ ?	28990	44
euro	NOUN	All	Sing	üle_minek	NOUN	Ade	Sing	Eurole üleminekul	___Eurole___ ___üleminekul___ muutub reisimine inimestele mugavamaks ja vähenevad valuutavahetuskulud .	29076	108
bruto_palk	NOUN	Ela	Sing	pensioni_konto	NOUN	All	Sing	brutopalgast pensionikontole	Kogumispensioni puhul loovutab inimene 2% oma ___brutopalgast___ ___pensionikontole___ ja riik lisab sellele sotsiaalmaksu arvelt juurde 4% .	29086	1
pere	NOUN	All	Sing	nädal	NOUN	Tra	Sing	perele nädalaks	Firma toidukast sisaldab suure osa keskmisele ___perele___ ___nädalaks___ vajalikest toiduainetest ( juur- ja köögiviljad , mesi , maitse- ja kuivained , taimeteed jms ) .	29137	277
loodus_kaun	NOUN	Ine	Sing	koht	NOUN	Ine	Sing	looduskaunis kohas	Miks paljud inimesed eelistavad praegu suurlinna asemel elada rahulikus ___looduskaunis___ ___kohas___ ?	29239	7
loss	NOUN	Ine	Sing	mõis	NOUN	Ine	Plur	lossis mõisates	Kontserdid toimusid Alatskivi ___lossis___ , Saku , Riisipere ja Porkuni ___mõisates___ .	29316	40
vald	NOUN	Ine	Sing	küla	NOUN	Ine	Sing	vallas külas	Üks tuntuim on Farmeri elamurajoon Viimsi ___vallas___ Lubja ___külas___ , kus endisele lautade territooriumile on moodustatud 40 elamukrundiga privaatne ja looduskaunis elamurajoon .	29377	11
elu	NOUN	Ade	Sing	linn	NOUN	Ine	Sing	elul linnas	Kuid ___elul___ ___linnas___ on ka omad miinused : saastunud õhk , heitgaasid ja müra .	29422	372
linn	NOUN	Ine	Sing	pere	NOUN	Ade	Plur	linnas peredel	Paljudel ___linnas___ elavatel ___peredel___ on maal suvekodu või suvila .	29430	269
haige	NOUN	All	Sing	loom	NOUN	All	Sing	haigele loomale	Loomakaitseseadus kohustab loomaomanikku tagama ___haigele___ või vigastatud ___loomale___ õige ravi .	29483	28
maa	NOUN	Ine	Plur	komme	NOUN	Tra	Sing	maades kombeks	Nii nagu mujal ___maades___ ___kombeks___ , sõlmib varjupaik looma võtnud inimesega lepingu , et hoida looma edasisel käekäigul silm peal .	29550	202
poolik	NOUN	Ela	Plur	pere	NOUN	Ela	Plur	poolikutest peredest	Kas teie arvates ei oska ___poolikutest___ ___peredest___ pärit lapsed lähisuhteid luua ?	29890	4
bakalaureuse_õpe	NOUN	Ill	Sing	astumine	NOUN	Ade	Sing	Bakalaureuseõppesse astumisel	___Bakalaureuseõppesse___ ___astumisel___ tohib korraga esitada ühe avalduse .	30072	3
osa	NOUN	Ine	Sing	aine	NOUN	Ine	Plur	Osas ainetes	___Osas___ ___ainetes___ võiks õppetöö toimuda inglise keeles .	30094	236
tulevik	NOUN	Ine	Sing	läbi_löömine	NOUN	Tra	Sing	tulevikus läbilöömiseks	Paljud üliõpilased õpivad osa aega välismaal , saades lisaks heale hariduslikule pagasile palju uusi sõpru , hindamatu kogemuse ja hädavajalikud oskused ___tulevikus___ ___läbilöömiseks___ .	30106	98
vahetus_üli_õpilane	NOUN	Tra	Sing	saamine	NOUN	Tra	Sing	vahetusüliõpilaseks saamiseks	Igal õppeaastal kuulutatakse märtsikuus välja konkurss Socratese või Erasmuse ___vahetusüliõpilaseks___ ___saamiseks___ .	30108	2
keel	NOUN	Ine	Sing	kursus	NOUN	Ade	Plur	keeles kursustel	Õppetöö toimub inglise ___keeles___ ja jaapani keeles jaapani keele ___kursustel___ .	30137	609
kooli_pink	NOUN	Ela	Sing	tulnu	NOUN	Ade	Plur	koolipingist tulnuil	Kas teie arvates on keskealistel raskem õppida kui noortel , äsja ___koolipingist___ ___tulnuil___ ?	30194	2
sõna	NOUN	Ade	Sing	õpilane	NOUN	All	Sing	sõnal õpilasele	Kui suur mõju on õpetaja ___sõnal___ ___õpilasele___ ?	30292	244
linn	NOUN	Add	Sing	kool	NOUN	Add	Sing	linna kooli	Hakkate rongiga ___linna___ ___kooli___ sõitma .	30308	269
vanus	NOUN	Ine	Sing	kunsti_huviline	NOUN	All	Sing	vanuses kunstihuvilisele	Maalilaager igas ___vanuses___ ___kunstihuvilisele___ .	30393	34
välis_riik	NOUN	Ine	Sing	praktika	NOUN	Ade	Sing	välisriigis praktikal	Eraülikoolides loevad loenguid tihti ka välislektorid ning üliõpilased võivad viibida ___välisriigis___ ___praktikal___ ja töötada välisfirmas .	30490	15
elu	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	eluks ajaks	Kutseharidus annab inimesele kindla tuleviku , sest omandatud eriala garanteerib ___eluks___ ___ajaks___ töö ja sissetuleku .	30539	372
aasta	NOUN	Tra	Sing	inimene	NOUN	Abl	Plur	aastaks inimestelt	Kas välisriikidest Eestisse umbes 5 ___aastaks___ tööle tulevatelt ___inimestelt___ tuleks nõuda keelekategooria tunnistust ?	30604	906
töö	NOUN	All	Sing	inimene	NOUN	Abl	Plur	tööle inimestelt	Kas välisriikidest Eestisse umbes 5 aastaks ___tööle___ tulevatelt ___inimestelt___ tuleks nõuda keelekategooria tunnistust ?	30604	552
töö	NOUN	Ela	Sing	välis_riik	NOUN	Ine	Sing	tööst välisriigis	Mida te teate ___tööst___ ___välisriigis___ ?	30618	552
koht	NOUN	All	Sing	kandideerimine	NOUN	Tra	Sing	kohale kandideerimiseks	Kirjutage ka sooviavaldus sellele ___kohale___ ___kandideerimiseks___ .	30709	323
töö	NOUN	All	Sing	asumine	NOUN	Ade	Sing	tööle asumisel	Kelle nõusolek on vajalik alaealise ___tööle___ ___asumisel___ ?	30742	552
kuri	NOUN	Ade	Plur	plaan	NOUN	Ade	Plur	kurjadel plaanidel	Kuid ___kurjadel___ ___plaanidel___ pole määratud täide minna .	30927	2
operatsiooni_süsteem	NOUN	Ela	Sing	tekst	NOUN	Ine	Sing	operatsioonisüsteemist tekstis	Missugusest kahest ___operatsioonisüsteemist___ ___tekstis___ räägitakse ?	31113	9
paber	NOUN	All	Sing	trüki=tu	NOUN	Ela	Plur	paberile trükitutest	Raamatud peavad Internetis olema ___paberile___ ___trükitutest___ tunduvalt odavamad , sest kirjastaja kulutused on väiksemad , samas on aga lugejaskond määratult suurem .	31131	83
töö_vihik	NOUN	Ine	Sing	tekst	NOUN	All	Plur	töövihikus tekstidele	Lisaks lubab elektrooniline formaat kasutada õpikus või ___töövihikus___ ___tekstidele___ täienduseks arvukalt vajalikke linke Internetis .	31137	24
tekst	NOUN	All	Plur	täiendus	NOUN	Tra	Sing	tekstidele täienduseks	Lisaks lubab elektrooniline formaat kasutada õpikus või töövihikus ___tekstidele___ ___täienduseks___ arvukalt vajalikke linke Internetis .	31137	155
prill	NOUN	Ill	Plur	käe_pide	NOUN	Ill	Sing	prillidesse käepidemesse	On esitletud ka kavandeid telefonidest , mis on sisse ehitatud ___prillidesse___ või jalutuskepi ___käepidemesse___ .	31239	55
puhtus	NOUN	All	Sing	oht	NOUN	Tra	Sing	puhtusele ohuks	Viimastel aastatel on mere ___puhtusele___ suurimaks ___ohuks___ muutunud mürgiste vetikate hulgad .	31488	11
meri	NOUN	Add	Sing	maa	NOUN	Abl	Sing	merre maalt	Lisaks ennetustele tankeritega satub suur osa naftareostust ___merre___ ___maalt___ piki jõgesid voolates .	31494	73
Kliinikum	NOUN	Ine	Sing	seis	NOUN	Ine	Sing	Kliinikumis seisus	___Kliinikumis___ tihti raskes ___seisus___ lebava Reinu võib päästa vaid neerusiirdamine , millele peaks eelnema spetsiaalne ravikuur ülitugeva ja kalli ravimiga .	31599	1
poolik	NOUN	Ela	Sing	pere	NOUN	Ela	Sing	poolikust perest	Riskirühma kuuluvad ka ___poolikust___ ___perest___ pärit lapsed .	31791	4
liiter	NOUN	Ine	Sing	piim	NOUN	Ine	Sing	liitris piimas	Ühes kanamunas on 6 - 7 g valku , sama palju kui ___liitris___ ___piimas___ .	31902	6
keha_hoid	NOUN	Ela	Sing	seismine	NOUN	Ade	Sing	kehahoiust seismisel	Paksus tuleneb hoolimatusest oma keha vastu , halvast ___kehahoiust___ ___seismisel___ , kõndimisel , istumisel , kummardamisel , ebaõigest hingamisest , valest toitumisest-dieedist ja liialdamistest .	31911	1
hulk	NOUN	Ade	Sing	inimene	NOUN	All	Sing	hulgal inimesele	Vetikad sisaldavad tohutul ___hulgal___ ___inimesele___ vajalikke mikroelemente , nagu jood , kaalium , kaltsium ja väävel .	32044	45
paari_nädal	NOUN	Ill	Sing	osa	NOUN	Add	Sing	paarinädalasse ossa	Puhkuse jagab ta tavaliselt kahte-kolme ___paarinädalasse___ ___ossa___ .	32182	1
maja	NOUN	Add	Sing	sisse_murdmine	NOUN	Tra	Sing	majja sissemurdmiseks	Lukustage ka tööriistad , redelid jms , et neid ei saaks kasutada ___majja___ ___sissemurdmiseks___ .	32308	197
liiv	NOUN	Ela	Sing	muld	NOUN	Add	Sing	liivast mulda	Õhuke kiht paeklibu , kruusa ja natuke ___liivast___ ___mulda___ ei pea vett kinni .	32336	15
turism	NOUN	Ine	Sing	naine	NOUN	Ade	Plur	turismis naistel	Kui suur roll on ___turismis___ ___naistel___ ?	32448	12
riik	NOUN	Add	Sing	meelitamine	NOUN	Tra	Sing	riiki meelitamiseks	Eesti suurim vaatamisväärsus on vaieldamatult Tallinna vanalinn , kuid sellest üksi jääb välismaalaste ___riiki___ ___meelitamiseks___ väheks .	32459	184
reisi_büroo	NOUN	Ine	Sing	dokument	NOUN	Ine	Plur	Reisibüroos dokumentides	___Reisibüroos___ vormistatavates ___dokumentides___ on kirjas hotelli nimetus , kategooria ( tärnide arv ) , kahe- või ühekohaline majutus , söök , mis peab toas olema ( vann , dušš , föön , teler ) , kindlustus .	32474	4
linn	NOUN	Ine	Sing	inimene	NOUN	Ade	Plur	linnas inimestel	Paljudel ___linnas___ elavatel ___inimestel___ ei ole maal sugulasi ja sellepärast tekib neil huvi millegi erilise vastu .	32507	269
laealus	NOUN	Ade	Sing	seiklus_rada	NOUN	Ade	Sing	laealusel seiklusrajal	Spordikompleksis on võimalik harrastada ka ekstreemalasid , nagu kaljuronimine üheksa meetri kõrgusel seinal ja ___laealusel___ ___seiklusrajal___ .	32639	1
silika_atkivine	NOUN	Ela	Sing	sein	NOUN	All	Sing	silikaatkivist seinale	Hoone ___silikaatkivist___ ___seinale___ on paigutatud kaljuronimisnukid , mida mööda ronida 15 m kõrgusele .	32645	1
männi_mets	NOUN	Ine	Sing	mere_rand	NOUN	Ade	Sing	männimetsas mererannal	Spordikeskus asub looduslikult väga kenas kohas , ___männimetsas___ ___mererannal___ .	32648	5
natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Vahepeal tahaks Baruto kas või ___natukeseks___ ___ajaks___ koju Lääne-Virumaale sõita , aga kahjuks pole sumolaager , uued treeningud ja võistlused , uued võidud ja kaotused .	34071	4
sõit	NOUN	Tra	Sing	buss	NOUN	Add	Sing	sõiduks bussi	Viktor arvas , et tema isa saab anda ___sõiduks___ ___bussi___ .	34251	31
laps	NOUN	Ade	Sing	selg	NOUN	Ine	Sing	lapsel seljas	See tähendab , et üks puhastuses , üks ___lapsel___ ___seljas___ , üks reservis , et oleks võtta , kui laps juhtub rõivad kunstiringis värviga ära määrima .	34350	810
varju_paik	NOUN	Ine	Sing	abi	NOUN	Tra	Sing	varjupaigas abiks	Minu ema ja isa on juba pensionärid ning nüüd on neil aega oma lemmiktegevuse jaoks - nad käivad loomade ___varjupaigas___ ___abiks___ .	35232	33
ravi	NOUN	Tra	Sing	koht	NOUN	Ine	Sing	raviks kohas	Paro on väga vahva mänguasi ning sobib haigete ___raviks___ ___kohas___ , kus loomateraapiat kasutada ei saa .	35392	12
sõber	NOUN	All	Sing	küla	NOUN	Add	Sing	sõbrale külla	Kas sa tahad suvel ___sõbrale___ ___külla___ sõita ?	35424	560
õhtu	NOUN	Ade	Sing	saun	NOUN	Ine	Sing	õhtul saunas	Siis veel pesemine - et ainult ___õhtul___ ___saunas___ või järves , muidu aga pesukausist .	35560	251
maa_töö	NOUN	Ade	Plur	abi	NOUN	Tra	Sing	Maatöödel abiks	___Maatöödel___ ___abiks___ olla on päris huvitav .	35632	4
tee	NOUN	Ade	Sing	kool	NOUN	Add	Sing	teel kooli	Kui olin poolel ___teel___ ___kooli___ , märkasin , et mu koolikott oli koju jäänud .	36367	203
emaks-isa	NOUN	Tra	Sing	olemine	NOUN	All	Sing	emaks-isaks olemisele	Nukumäng on näiteks ettevalmistus ___emaks-isaks___ ___olemisele___ .	36633	2
vorm	NOUN	Ine	Sing	suusa_mägi	NOUN	Ade	Sing	vormis suusamäel	Sünnipäev toimub sportlikus ___vormis___ Otepääl ___suusamäel___ .	36854	50
sünni_päeva_pidu	NOUN	All	Sing	püha_päev	NOUN	Ade	Sing	sünnipäevapeole pühapäeval	Ootan Sind oma ___sünnipäevapeole___ ___pühapäeval___ , 10. aprillil botaanikaaeda .	36861	14
valge	NOUN	Ine	Plur	kleit	NOUN	Ine	Plur	valgetes kleitides	Arvasin , et ballett on rohkem tüdrukute värk : tantsitakse varvastel , ___valgetes___ ___kleitides___ , sisust nagunii aru ei saa . . .	37396	7
ahi	NOUN	Ine	Sing	loomali_laps	NOUN	Ine	Sing	Ahjus loomalihas	___Ahjus___ küpsetatud ___loomalihas___ on rasva 4 -6% .	37569	38
ahi	NOUN	Ela	Sing	võtmine	NOUN	Ade	Sing	ahjust võtmisel	Kasutage nõude ___ahjust___ ___võtmisel___ ALATI kindaid .	37954	38
toit	NOUN	Ela	Sing	nõue	NOUN	Ill	Sing	toidust nõudesse	Põhjus : kuumus kandub ___toidust___ ___nõudesse___ ning need on kuumad .	37955	179
ahi	NOUN	Ela	Sing	võtmine	NOUN	Ade	Sing	ahjust võtmisel	Instruktsioonist lugesin , et nõude ___ahjust___ ___võtmisel___ kasutaks me alati kindaid .	37981	38
õis	NOUN	Ade	Plur	nektar	NOUN	Ela	Sing	õitel nektarist	Kevadel toituvad lepatriinud ___õitel___ ___nektarist___ .	38082	10
labor	NOUN	Ine	Sing	ruum	NOUN	Ine	Sing	laboris ruumis	Homme hommikul kella kaheksast kümneni meie ___laboris___ ___ruumis___ number seitseteist .	38352	3
noor	NOUN	All	Plur	tüdruk	NOUN	All	Plur	noortele tüdrukutele	See oli kõigile , nii ___noortele___ ___tüdrukutele___ kui vanadele naistele , rangelt keelatud .	38640	139
maa_ilm	NOUN	Ine	Sing	läbi_löömine	NOUN	Tra	Sing	maailmas läbilöömiseks	Mida on vaja ___maailmas___ ___läbilöömiseks___ ?	38840	223
territoorium	NOUN	Ela	Sing	teada_andmine	NOUN	Tra	Sing	territooriumist teadaandmiseks	Toonekurg kasutab kehakeelt oma ___territooriumist___ ___teadaandmiseks___ .	39181	12
kohal_olek	NOUN	Ela	Sing	partner	NOUN	All	Plur	kohalolekust partneritele	Linnud tavaliselt laulavad , et teatada oma territooriumist ning et teatada oma ___kohalolekust___ ___partneritele___ .	39183	2
kabinet	NOUN	Ine	Sing	olija	NOUN	Ade	Sing	kabinetis olijal	Kui kabineti uks oli varem lahti , on õigus see sulgeda ___kabinetis___ ___olijal___ .	39256	18
noor	NOUN	All	Plur	neid	NOUN	All	Plur	noortele neidudele	Ka ___noortele___ ___neidudele___ sobib kõige paremini kolmekordne kölni vesi , mis on ühtlasi hea desinfitseerimisvahend .	39299	139
sõbranna	NOUN	Ade	Sing	küla	NOUN	Ine	Sing	sõbrannal külas	Paar päeva Viljandis ___sõbrannal___ ___külas___ olnud Ave ostis möödunud kolmapäeval bussijaama kassast pileti Tallinna ja astus ühte kahest bussist , mis kell 13.10 peatuses seisid .	39506	47
kool	NOUN	Ela	Sing	kodu	NOUN	Add	Sing	Koolist koju	___Koolist___ ___koju___ sõitev poiss oli väsinud .	39515	1013
laid	NOUN	All	Plur	minek	NOUN	Tra	Sing	laidudele minekuks	Paljudele saartele ja ___laidudele___ ___minekuks___ peab taotlema luba .	39599	3
sadam	NOUN	Ela	Sing	saabuja	NOUN	All	Sing	sadamast saabujale	Saarel tohib telgi üles panna ainult ettenähtud laagriplatsil ja ___sadamast___ ___saabujale___ teatatakse , et telkida võib vaid looduspargi loal .	39608	15
kodu	NOUN	Ine	Sing	istuja	NOUN	Ade	Plur	Kodus istujatel	___Kodus___ ___istujatel___ jäi metsa sõitmata .	39656	714
mõisa_hoone	NOUN	Ine	Sing	klaver	NOUN	Ade	Sing	mõisahoones klaveril	Ka neiud ise ei pääsenud klaverimängust ning pidid andma kontserdi endisaegsel kujul taastatud ___mõisahoones___ uuel Steinway ___klaveril___ .	40176	5
komisjon	NOUN	Ine	Sing	algus	NOUN	Ine	Sing	komisjonis alguses	Eks nad seal ___komisjonis___ ___alguses___ natuke kõhelnud , kui mind nägid .	40223	14
loodus	NOUN	Ine	Sing	filmimine	NOUN	Ade	Sing	looduses filmimisel	Ta on Venemaal ainuke karu , keda saab kasutada vabas ___looduses___ ___filmimisel___ .	40319	153
natuke	NOUN	Tra	Sing	aeg	NOUN	Tra	Sing	natukeseks ajaks	Kui Sul aega on , võiksid ta ___natukeseks___ ___ajaks___ sülle võtta ja temaga rääkida .	40458	4
juht	NOUN	Ade	Sing	selve_kauplus	NOUN	Ela	Sing	juhul selvekauplusest	Põhiliselt mainekatest kaubamajadest , äärmisel ___juhul___ ___selvekauplusest___ .	40635	110
noor	NOUN	All	Plur	inimene	NOUN	All	Plur	Noortele inimestele	___Noortele___ ___inimestele___ meeldib reklaame vaadata .	40673	139
vaha	NOUN	Ela	Sing	kere	NOUN	All	Sing	vahast kerele	Lõpuks pannakse ___vahast___ ___kerele___ riided selga ning kinnitatakse külge käed ja pea .	41339	4
välis_maa	NOUN	All	Sing	saatmine	NOUN	Tra	Sing	välismaale saatmiseks	Kas need on Eesti-sisese kirja jaoks või ___välismaale___ ___saatmiseks___ ?	41797	52
